Drug1,Drug2,cell,drug1_db,drug2_db,synergy,sideeffect,synergistic
5-FU,BORTEZOMIB,10,400,710,-2.395,0,0
5-FU,DASATINIB,10,400,495,1.5075,0,1
5-FU,ERLOTINIB,10,400,529,8.2525,0,1
5-FU,GELDANAMYCIN,10,400,631,6.0575,0,1
5-FU,LAPATINIB,10,400,324,4.92,0,1
5-FU,SORAFENIB,10,400,657,11.155,0,1
5-FU,SUNITINIB,10,400,667,13.5325,0,1
BORTEZOMIB,DASATINIB,10,710,495,1.05,0,1
BORTEZOMIB,GELDANAMYCIN,10,710,631,3.5625,0,1
BORTEZOMIB,SORAFENIB,10,710,657,12.895,0,1
BORTEZOMIB,TOPOTECAN,10,710,555,2.6475,0,1
DASATINIB,GELDANAMYCIN,10,495,631,-1.815,0,0
DASATINIB,SORAFENIB,10,495,657,13.4575,0,1
DASATINIB,TOPOTECAN,10,495,555,2.4525,0,1
DEXAMETHASONE,BORTEZOMIB,10,481,710,5.385,0,1
DEXAMETHASONE,DASATINIB,10,481,495,2.6975,0,1
DEXAMETHASONE,ERLOTINIB,10,481,529,-0.9,0,0
DEXAMETHASONE,GELDANAMYCIN,10,481,631,11.3325,0,1
DEXAMETHASONE,LAPATINIB,10,481,324,4.18,0,1
DEXAMETHASONE,SORAFENIB,10,481,657,17.79,0,1
DEXAMETHASONE,SUNITINIB,10,481,667,16.935,0,1
DOXORUBICIN,BORTEZOMIB,10,655,710,-0.0825,0,0
DOXORUBICIN,DASATINIB,10,655,495,1.65,0,1
DOXORUBICIN,ERLOTINIB,10,655,529,0.31,0,1
DOXORUBICIN,GELDANAMYCIN,10,655,631,0.9525,0,1
DOXORUBICIN,LAPATINIB,10,655,324,3.115,0,1
DOXORUBICIN,SORAFENIB,10,655,657,-0.9275,0,0
DOXORUBICIN,SUNITINIB,10,655,667,-1.125,0,0
ERLOTINIB,BORTEZOMIB,10,529,710,-1.195,0,0
ERLOTINIB,DASATINIB,10,529,495,5.085,0,1
ERLOTINIB,GELDANAMYCIN,10,529,631,6.1575,0,1
ERLOTINIB,SORAFENIB,10,529,657,8.445,0,1
ERLOTINIB,TOPOTECAN,10,529,555,13.74,0,1
ETOPOSIDE,BORTEZOMIB,10,595,710,3.95,0,1
ETOPOSIDE,DASATINIB,10,595,495,-0.1675,0,0
ETOPOSIDE,ERLOTINIB,10,595,529,2.54,0,1
ETOPOSIDE,GELDANAMYCIN,10,595,631,9.53,0,1
ETOPOSIDE,LAPATINIB,10,595,324,3.5975,0,1
ETOPOSIDE,SORAFENIB,10,595,657,3.7175,0,1
ETOPOSIDE,SUNITINIB,10,595,667,3.4675,0,1
GELDANAMYCIN,SORAFENIB,10,631,657,16.7075,0,1
GELDANAMYCIN,TOPOTECAN,10,631,555,7.5,0,1
GEMCITABINE,BORTEZOMIB,10,320,710,10.09,0,1
GEMCITABINE,DASATINIB,10,320,495,2.7175,0,1
GEMCITABINE,ERLOTINIB,10,320,529,8.84,0,1
GEMCITABINE,GELDANAMYCIN,10,320,631,9.8775,0,1
GEMCITABINE,LAPATINIB,10,320,324,5.9925,0,1
GEMCITABINE,SORAFENIB,10,320,657,3.0975,0,1
GEMCITABINE,SUNITINIB,10,320,667,8.2875,0,1
LAPATINIB,BORTEZOMIB,10,324,710,1.7725,0,1
LAPATINIB,DASATINIB,10,324,495,7.1,0,1
LAPATINIB,ERLOTINIB,10,324,529,5.1075,0,1
LAPATINIB,GELDANAMYCIN,10,324,631,9.875,0,1
LAPATINIB,SORAFENIB,10,324,657,20.58,0,1
LAPATINIB,TOPOTECAN,10,324,555,10.4225,0,1
METFORMIN,BORTEZOMIB,10,425,710,2.6525,0,1
METFORMIN,DASATINIB,10,425,495,-0.5275,0,0
METFORMIN,ERLOTINIB,10,425,529,-0.415,0,0
METFORMIN,GELDANAMYCIN,10,425,631,10.9925,0,1
METFORMIN,LAPATINIB,10,425,324,4.47,0,1
METFORMIN,SORAFENIB,10,425,657,17.3525,0,1
METFORMIN,SUNITINIB,10,425,667,13.2575,0,1
METHOTREXATE,BORTEZOMIB,10,737,710,-2.4275,0,0
METHOTREXATE,DASATINIB,10,737,495,5.06,0,1
METHOTREXATE,ERLOTINIB,10,737,529,3.2875,0,1
METHOTREXATE,GELDANAMYCIN,10,737,631,-6.2425,0,0
METHOTREXATE,LAPATINIB,10,737,324,0.105,0,1
METHOTREXATE,SORAFENIB,10,737,657,1.55,0,1
METHOTREXATE,SUNITINIB,10,737,667,-2.5225,0,0
PACLITAXEL,BORTEZOMIB,10,477,710,2.1075,0,1
PACLITAXEL,DASATINIB,10,477,495,0.645,0,1
PACLITAXEL,ERLOTINIB,10,477,529,-2.2525,0,0
PACLITAXEL,GELDANAMYCIN,10,477,631,3.855,0,1
PACLITAXEL,LAPATINIB,10,477,324,0.375,0,1
PACLITAXEL,SORAFENIB,10,477,657,3.4675,0,1
PACLITAXEL,SUNITINIB,10,477,667,5.6075,0,1
SUNITINIB,BORTEZOMIB,10,667,710,5.2975,0,1
SUNITINIB,DASATINIB,10,667,495,16.3975,0,1
SUNITINIB,ERLOTINIB,10,667,529,14.34,0,1
SUNITINIB,GELDANAMYCIN,10,667,631,10.5975,0,1
SUNITINIB,LAPATINIB,10,667,324,24.8375,0,1
SUNITINIB,SORAFENIB,10,667,657,12.515,0,1
SUNITINIB,TOPOTECAN,10,667,555,3.2725,0,1
TOPOTECAN,SORAFENIB,10,555,657,8.77,0,1
VINBLASTINE,BORTEZOMIB,10,730,710,4.51,0,1
VINBLASTINE,DASATINIB,10,730,495,-1.2525,0,0
VINBLASTINE,ERLOTINIB,10,730,529,8.9775,0,1
VINBLASTINE,GELDANAMYCIN,10,730,631,3.1475,0,1
VINBLASTINE,LAPATINIB,10,730,324,2.5875,0,1
VINBLASTINE,SORAFENIB,10,730,657,15.8075,0,1
VINBLASTINE,SUNITINIB,10,730,667,7.7925,0,1
VINORELBINE,BORTEZOMIB,10,380,710,0.125,0,1
VINORELBINE,DASATINIB,10,380,495,-1.34,0,0
VINORELBINE,ERLOTINIB,10,380,529,3.5475,0,1
VINORELBINE,GELDANAMYCIN,10,380,631,3.07,0,1
VINORELBINE,LAPATINIB,10,380,324,1.25,0,1
VINORELBINE,SORAFENIB,10,380,657,5.005,0,1
VINORELBINE,SUNITINIB,10,380,667,3.1575,0,1
5-FU,BORTEZOMIB,21,400,710,2.3325,0,1
5-FU,DASATINIB,21,400,495,11.825,0,1
5-FU,ERLOTINIB,21,400,529,15.215,0,1
5-FU,GELDANAMYCIN,21,400,631,4.1725,0,1
5-FU,LAPATINIB,21,400,324,15.875,0,1
5-FU,SORAFENIB,21,400,657,5.4125,0,1
5-FU,SUNITINIB,21,400,667,10.6925,0,1
BORTEZOMIB,DASATINIB,21,710,495,4.33,0,1
BORTEZOMIB,GELDANAMYCIN,21,710,631,3.0325,0,1
BORTEZOMIB,SORAFENIB,21,710,657,3.0225,0,1
BORTEZOMIB,TOPOTECAN,21,710,555,5.575,0,1
DASATINIB,GELDANAMYCIN,21,495,631,6.5325,0,1
DASATINIB,SORAFENIB,21,495,657,13.57,0,1
DASATINIB,TOPOTECAN,21,495,555,7.215,0,1
DEXAMETHASONE,BORTEZOMIB,21,481,710,1.5225,0,1
DEXAMETHASONE,DASATINIB,21,481,495,5.5075,0,1
DEXAMETHASONE,ERLOTINIB,21,481,529,3.7525,0,1
DEXAMETHASONE,GELDANAMYCIN,21,481,631,3.005,0,1
DEXAMETHASONE,LAPATINIB,21,481,324,4.5975,0,1
DEXAMETHASONE,SORAFENIB,21,481,657,2.0025,0,1
DEXAMETHASONE,SUNITINIB,21,481,667,5.795,0,1
DOXORUBICIN,BORTEZOMIB,21,655,710,4.1825,0,1
DOXORUBICIN,DASATINIB,21,655,495,7.6625,0,1
DOXORUBICIN,ERLOTINIB,21,655,529,6.0,0,1
DOXORUBICIN,GELDANAMYCIN,21,655,631,2.6175,0,1
DOXORUBICIN,LAPATINIB,21,655,324,8.875,0,1
DOXORUBICIN,SORAFENIB,21,655,657,-0.3575,0,0
DOXORUBICIN,SUNITINIB,21,655,667,-0.38,0,0
ERLOTINIB,BORTEZOMIB,21,529,710,2.68,0,1
ERLOTINIB,DASATINIB,21,529,495,11.615,0,1
ERLOTINIB,GELDANAMYCIN,21,529,631,5.6025,0,1
ERLOTINIB,SORAFENIB,21,529,657,8.295,0,1
ERLOTINIB,TOPOTECAN,21,529,555,13.0275,0,1
ETOPOSIDE,BORTEZOMIB,21,595,710,3.64,0,1
ETOPOSIDE,DASATINIB,21,595,495,9.715,0,1
ETOPOSIDE,ERLOTINIB,21,595,529,9.72,0,1
ETOPOSIDE,GELDANAMYCIN,21,595,631,3.5125,0,1
ETOPOSIDE,LAPATINIB,21,595,324,12.05,0,1
ETOPOSIDE,SORAFENIB,21,595,657,1.675,0,1
ETOPOSIDE,SUNITINIB,21,595,667,2.3025,0,1
GELDANAMYCIN,SORAFENIB,21,631,657,2.2275,0,1
GELDANAMYCIN,TOPOTECAN,21,631,555,3.3425,0,1
GEMCITABINE,BORTEZOMIB,21,320,710,2.8025,0,1
GEMCITABINE,DASATINIB,21,320,495,5.885,0,1
GEMCITABINE,ERLOTINIB,21,320,529,4.76,0,1
GEMCITABINE,GELDANAMYCIN,21,320,631,0.7825,0,1
GEMCITABINE,LAPATINIB,21,320,324,5.7025,0,1
GEMCITABINE,SORAFENIB,21,320,657,0.2475,0,1
GEMCITABINE,SUNITINIB,21,320,667,2.825,0,1
LAPATINIB,BORTEZOMIB,21,324,710,5.6925,0,1
LAPATINIB,DASATINIB,21,324,495,19.5325,0,1
LAPATINIB,ERLOTINIB,21,324,529,9.385,0,1
LAPATINIB,GELDANAMYCIN,21,324,631,6.77,0,1
LAPATINIB,SORAFENIB,21,324,657,7.7375,0,1
LAPATINIB,TOPOTECAN,21,324,555,10.205,0,1
METFORMIN,BORTEZOMIB,21,425,710,0.645,0,1
METFORMIN,DASATINIB,21,425,495,10.49,0,1
METFORMIN,ERLOTINIB,21,425,529,4.5225,0,1
METFORMIN,GELDANAMYCIN,21,425,631,1.3575,0,1
METFORMIN,LAPATINIB,21,425,324,4.83,0,1
METFORMIN,SORAFENIB,21,425,657,5.6425,0,1
METFORMIN,SUNITINIB,21,425,667,11.5225,0,1
METHOTREXATE,BORTEZOMIB,21,737,710,0.7725,0,1
METHOTREXATE,DASATINIB,21,737,495,2.15,0,1
METHOTREXATE,ERLOTINIB,21,737,529,2.595,0,1
METHOTREXATE,GELDANAMYCIN,21,737,631,-1.18,0,0
METHOTREXATE,LAPATINIB,21,737,324,2.33,0,1
METHOTREXATE,SORAFENIB,21,737,657,0.8175,0,1
METHOTREXATE,SUNITINIB,21,737,667,-0.14,0,0
PACLITAXEL,BORTEZOMIB,21,477,710,2.215,0,1
PACLITAXEL,DASATINIB,21,477,495,11.8525,0,1
PACLITAXEL,ERLOTINIB,21,477,529,4.1875,0,1
PACLITAXEL,GELDANAMYCIN,21,477,631,0.67,0,1
PACLITAXEL,LAPATINIB,21,477,324,5.665,0,1
PACLITAXEL,SORAFENIB,21,477,657,5.3925,0,1
PACLITAXEL,SUNITINIB,21,477,667,6.03,0,1
SUNITINIB,BORTEZOMIB,21,667,710,6.1425,0,1
SUNITINIB,DASATINIB,21,667,495,15.355,0,1
SUNITINIB,ERLOTINIB,21,667,529,12.2275,0,1
SUNITINIB,GELDANAMYCIN,21,667,631,6.17,0,1
SUNITINIB,LAPATINIB,21,667,324,17.3475,0,1
SUNITINIB,SORAFENIB,21,667,657,2.3625,0,1
SUNITINIB,TOPOTECAN,21,667,555,3.3675,0,1
TOPOTECAN,SORAFENIB,21,555,657,3.0325,0,1
VINBLASTINE,BORTEZOMIB,21,730,710,4.2425,0,1
VINBLASTINE,DASATINIB,21,730,495,9.4425,0,1
VINBLASTINE,ERLOTINIB,21,730,529,10.5925,0,1
VINBLASTINE,GELDANAMYCIN,21,730,631,3.0275,0,1
VINBLASTINE,LAPATINIB,21,730,324,8.0425,0,1
VINBLASTINE,SORAFENIB,21,730,657,5.5925,0,1
VINBLASTINE,SUNITINIB,21,730,667,6.3175,0,1
VINORELBINE,BORTEZOMIB,21,380,710,2.22,0,1
VINORELBINE,DASATINIB,21,380,495,6.845,0,1
VINORELBINE,ERLOTINIB,21,380,529,5.4375,0,1
VINORELBINE,GELDANAMYCIN,21,380,631,1.44,0,1
VINORELBINE,LAPATINIB,21,380,324,5.8925,0,1
VINORELBINE,SORAFENIB,21,380,657,1.69,0,1
VINORELBINE,SUNITINIB,21,380,667,5.1375,0,1
