Drug1,Drug2,cell,drug1_db,drug2_db,synergy,sideeffect,synergistic
5-FU,BORTEZOMIB,11,663,130,-2.395,0,0
5-FU,DASATINIB,11,663,121,1.5075,0,1
5-FU,ERLOTINIB,11,663,251,8.2525,0,1
5-FU,GELDANAMYCIN,11,663,34,6.0575,0,1
5-FU,LAPATINIB,11,663,545,4.92,0,1
5-FU,SORAFENIB,11,663,142,11.155,0,1
5-FU,SUNITINIB,11,663,727,13.5325,0,1
BORTEZOMIB,DASATINIB,11,130,121,1.05,0,1
BORTEZOMIB,GELDANAMYCIN,11,130,34,3.5625,0,1
BORTEZOMIB,SORAFENIB,11,130,142,12.895,0,1
BORTEZOMIB,TOPOTECAN,11,130,287,2.6475,0,1
DASATINIB,GELDANAMYCIN,11,121,34,-1.815,0,0
DASATINIB,SORAFENIB,11,121,142,13.4575,0,1
DASATINIB,TOPOTECAN,11,121,287,2.4525,0,1
DEXAMETHASONE,BORTEZOMIB,11,205,130,5.385,0,1
DEXAMETHASONE,DASATINIB,11,205,121,2.6975,0,1
DEXAMETHASONE,ERLOTINIB,11,205,251,-0.9,0,0
DEXAMETHASONE,GELDANAMYCIN,11,205,34,11.3325,0,1
DEXAMETHASONE,LAPATINIB,11,205,545,4.18,0,1
DEXAMETHASONE,SORAFENIB,11,205,142,17.79,0,1
DEXAMETHASONE,SUNITINIB,11,205,727,16.935,0,1
DOXORUBICIN,BORTEZOMIB,11,103,130,-0.0825,0,0
DOXORUBICIN,DASATINIB,11,103,121,1.65,0,1
DOXORUBICIN,ERLOTINIB,11,103,251,0.31,0,1
DOXORUBICIN,GELDANAMYCIN,11,103,34,0.9525,0,1
DOXORUBICIN,LAPATINIB,11,103,545,3.115,0,1
DOXORUBICIN,SORAFENIB,11,103,142,-0.9275,0,0
DOXORUBICIN,SUNITINIB,11,103,727,-1.125,0,0
ERLOTINIB,BORTEZOMIB,11,251,130,-1.195,0,0
ERLOTINIB,DASATINIB,11,251,121,5.085,0,1
ERLOTINIB,GELDANAMYCIN,11,251,34,6.1575,0,1
ERLOTINIB,SORAFENIB,11,251,142,8.445,0,1
ERLOTINIB,TOPOTECAN,11,251,287,13.74,0,1
ETOPOSIDE,BORTEZOMIB,11,324,130,3.95,0,1
ETOPOSIDE,DASATINIB,11,324,121,-0.1675,0,0
ETOPOSIDE,ERLOTINIB,11,324,251,2.54,0,1
ETOPOSIDE,GELDANAMYCIN,11,324,34,9.53,0,1
ETOPOSIDE,LAPATINIB,11,324,545,3.5975,0,1
ETOPOSIDE,SORAFENIB,11,324,142,3.7175,0,1
ETOPOSIDE,SUNITINIB,11,324,727,3.4675,0,1
GELDANAMYCIN,SORAFENIB,11,34,142,16.7075,0,1
GELDANAMYCIN,TOPOTECAN,11,34,287,7.5,0,1
GEMCITABINE,BORTEZOMIB,11,468,130,10.09,0,1
GEMCITABINE,DASATINIB,11,468,121,2.7175,0,1
GEMCITABINE,ERLOTINIB,11,468,251,8.84,0,1
GEMCITABINE,GELDANAMYCIN,11,468,34,9.8775,0,1
GEMCITABINE,LAPATINIB,11,468,545,5.9925,0,1
GEMCITABINE,SORAFENIB,11,468,142,3.0975,0,1
GEMCITABINE,SUNITINIB,11,468,727,8.2875,0,1
