drug,protein,,,,
DB00626,2,,,,2
DB00780,18,,,,18
DB01016,19,,,,19
DB01599,19,,,,25
DB00619,25,,,,27
DB01254,25,,,,31
DB04868,25,,,,32
DB00317,25,,,,38
DB00398,25,,,,40
DB00530,25,,,,41
DB00643,25,,,,43
DB01268,25,,,,52
DB01645,25,,,,90
DB02567,25,,,,91
DB03044,25,,,,92
DB03496,25,,,,93
DB04849,25,,,,94
DB05294,25,,,,95
DB05424,25,,,,100
DB06589,25,,,,102
DB06616,25,,,,107
DB06999,25,,,,108
DB08052,25,,,,111
DB08877,25,,,,124
DB08901,25,,,,125
DB08916,25,,,,126
DB08865,25,,,,132
DB01254,27,,,,134
DB00317,27,,,,135
DB00398,27,,,,136
DB00530,27,,,,140
DB00619,27,,,,142
DB01268,27,,,,146
DB02567,27,,,,147
DB03044,27,,,,148
DB04849,27,,,,150
DB04868,27,,,,151
DB05294,27,,,,152
DB05424,27,,,,153
DB06616,27,,,,154
DB06999,27,,,,155
DB08865,27,,,,156
DB00121,31,,,,159
DB00121,32,,,,176
DB00173,32,,,,185
DB00795,38,,,,186
DB00594,40,,,,189
DB00586,41,,,,190
DB00594,41,,,,196
DB00382,43,,,,207
DB00483,43,,,,208
DB00545,43,,,,211
DB00674,43,,,,212
DB00989,43,,,,213
DB01245,43,,,,216
DB08167,43,,,,217
DB00201,43,,,,231
DB00325,43,,,,238
DB00472,43,,,,239
DB00553,43,,,,240
DB00762,43,,,,241
DB04115,43,,,,251
DB04864,43,,,,262
DB00173,52,,,,279
DB08597,90,,,,290
DB02567,90,,,,301
DB04849,90,,,,306
DB08865,90,,,,316
DB02567,91,,,,353
DB04849,91,,,,367
DB08865,91,,,,375
DB02567,92,,,,438
DB03496,92,,,,440
DB02567,93,,,,443
DB06999,93,,,,444
DB02567,94,,,,445
DB03496,94,,,,471
DB08597,94,,,,476
DB00128,95,,,,498
DB00552,100,,,,501
DB00975,100,,,,506
DB02255,102,,,,509
DB02587,107,,,,523
DB02587,108,,,,526
DB02587,111,,,,552
DB01213,124,,,,554
DB01213,125,,,,558
DB01213,126,,,,567
DB00811,132,,,,570
DB00201,134,,,,590
DB00277,134,,,,595
DB00640,134,,,,596
DB00651,134,,,,632
DB00996,134,,,,640
DB01223,134,,,,645
DB01412,134,,,,652
DB00201,135,,,,657
DB00277,135,,,,658
DB00358,135,,,,659
DB00640,135,,,,660
DB00651,135,,,,673
DB01412,135,,,,683
DB01223,135,,,,695
DB00277,136,,,,706
DB00640,136,,,,747
DB01223,136,,,,759
DB00640,140,,,,760
DB01223,140,,,,761
DB02701,142,,,,762
DB07232,142,,,,763
DB00321,146,,,,765
DB00346,146,,,,767
DB00368,146,,,,768
DB00388,146,,,,770
DB00457,146,,,,771
DB00458,146,,,,773
DB00590,146,,,,774
DB00622,146,,,,775
DB00668,146,,,,776
DB00706,146,,,,778
DB01162,146,,,,779
DB01186,146,,,,780
DB01224,146,,,,781
DB06694,146,,,,782
DB00381,146,,,,783
