Drug,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128
DB04942,82.16854721,-81.83707396,59.04011975,-35.18521853,-38.30971413,35.92980878,-27.60490014,9.712072659,14.80423639,40.92693396,-7.427057845,-0.010957472,15.72429318,17.27741883,-15.09992923,-0.010071296,-5.579296176,4.314565162,-5.625486058,-0.212966516,1.404463558,5.35622754,8.299332361,19.53368661,13.49423423,2.806166179,22.09868205,-15.24016543,-1.28702871,10.07017514,-0.782394153,22.87913927,-16.74262031,-11.76079102,17.08853687,-10.44303372,-12.11879641,-12.95365867,-5.224981712,-5.965787104,16.49238982,-12.86644626,-17.94923643,-4.983428337,-21.65387754,1.139150797,5.79330304,13.02139741,4.608490399,-23.69424968,10.9975123,8.51593996,-0.664362269,-22.02657864,-9.0485654,4.940451064,5.497220416,9.341592265,26.69906338,0.339112959,11.11506009,3.696626892,9.91197594,-3.766860867,-8.98664541,-18.69095996,25.01095182,6.596479605,-17.71745483,17.67450178,-25.51674099,-5.751906746,24.95746687,-5.294097781,-35.12814946,7.478005426,8.0602017,0.258569366,-17.18015831,-11.68002545,-0.162536041,-1.711574765,1.484459811,8.696164589,-0.174458986,-0.90999739,-6.95685057,15.47811528,-0.754494926,18.59026471,-8.854995428,1.052224799,-2.804641383,-4.22789981,-3.365981492,-2.082004228,-0.491101799,3.466589177,1.957415671,0.569517923,-0.005929176,-0.985053619,0.83231348,0.662156869,-1.112772546,0.363219644,0.728725082,-1.403531504,1.154906188,0.117040923,-0.067531726,0.000349383,-3.13E-06,-1.13E-15,-4.04E-16,4.87E-16,4.53E-16,5.38E-16,7.19E-17,3.79E-16,5.43E-16,1.03E-15,1.89E-16,-1.77E-16,-5.80E-16,6.37E-16,-7.16E-17,6.41E-17
DB01620,91.66850357,-83.74151548,52.38233606,-2.242186563,2.131535613,11.31211881,25.92152478,9.984708027,10.9806664,-6.510915164,-39.54614895,-2.185206032,10.37033739,-18.73037356,-0.814446392,8.831902257,5.370105602,-26.04129614,-11.9830181,17.23617262,10.12725203,18.59421934,-0.234653903,12.57565969,-16.97164359,-0.514695924,6.333145368,-14.75670801,-10.453508,-11.9980839,-1.027715631,-5.889142715,2.08447294,15.54482625,13.86822184,23.04041812,-9.050584224,-12.14040674,1.424146129,0.847845895,10.40094227,11.84554711,-13.94504438,-3.950738575,-4.769086245,-5.614107814,-11.95242354,3.308340979,-17.50481043,-3.268574166,16.67227541,8.569618362,14.15289635,-4.887223826,-5.429351384,0.211676085,16.52798315,13.43922176,3.940606095,8.609270553,-5.426386425,-1.342786418,-4.912394931,-7.988009896,16.2758897,5.473422646,-14.04674193,-3.205700732,-6.702777008,-1.309892167,-9.624129213,-4.78417412,31.92659496,0.489867621,-9.696753257,8.139448501,-6.04782483,-16.80707261,-2.217864053,7.196415658,-5.343911752,5.399631532,-3.465234418,-28.65107949,-24.62712736,15.24626232,18.69726641,2.036808429,-9.612311257,-15.02450691,-1.837641813,3.109040904,3.387508174,-0.279048521,-2.969497131,-4.390409918,-0.099146101,-5.767604814,-1.304781585,1.306942277,1.414635058,1.966253203,-1.432856749,-0.80999095,1.739151217,-0.854958381,0.30459172,0.266049728,0.083279852,0.28189755,-0.137205626,-0.05728116,-3.65E-07,-1.13E-15,-4.04E-16,4.87E-16,4.53E-16,5.38E-16,7.19E-17,3.79E-16,5.43E-16,1.03E-15,1.89E-16,-1.77E-16,-5.80E-16,6.37E-16,-7.16E-17,6.41E-17
DB06218,102.863206,-101.9768626,85.53079724,-83.71804458,24.30607403,20.18024183,-23.60042794,-5.818816536,16.48701069,7.84682538,75.13647736,-19.33880252,-21.76770803,-38.950056,-10.3567051,-11.05860392,-20.48058395,14.15730959,31.90060183,0.406548878,-14.38433754,12.06863601,-6.298554694,7.358061236,26.87411391,1.598082127,-12.49490809,5.397289706,-2.640049909,13.40430979,-0.073773797,8.75173336,4.759897106,-1.797439048,-0.989741948,12.40736213,-9.597869665,-0.313253629,-2.929324252,-6.091357745,-1.275311068,-0.862139378,-4.53670277,-13.29883589,-10.62895366,7.294055437,-8.149392985,9.340635407,-4.346988184,-9.90430215,-8.24020331,7.514526989,17.20680012,6.253794443,5.996240886,3.492889165,1.486137036,-18.39223919,3.577180995,-4.556116804,-15.60600235,-22.5718324,-37.09704862,52.02178803,6.851109003,1.92512421,18.56209598,15.93064181,-38.05814314,17.47294946,32.80210092,-15.90912318,12.64236901,16.3646407,14.44912815,-4.850621466,-7.271900464,-2.080338266,11.67151544,-6.373107701,-4.417050441,0.523913827,-4.487115825,-2.599879022,9.565704622,4.922618589,0.613604511,-2.090008302,1.921987108,-0.441264126,-2.419380174,0.73236811,2.300870618,-0.958358911,-1.874463139,2.531225775,-0.031364167,-0.559741772,0.511141167,0.765357035,-0.310191487,-0.054460964,0.011399223,-0.515761239,0.138847178,-0.002500669,-0.114526834,0.050988874,-0.302528163,0.010312581,0.032128334,-0.002540416,-6.40E-06,-1.13E-15,-4.04E-16,4.87E-16,4.53E-16,5.38E-16,7.19E-17,3.79E-16,5.43E-16,1.03E-15,1.89E-16,-1.77E-16,-5.80E-16,6.37E-16,-7.16E-17,6.41E-17
DB00350,-40.2561951,-14.12064827,-5.969409254,0.324695418,-20.28588494,-0.619541579,-5.990236717,-4.299540588,-3.016606459,-11.68069289,14.69814285,10.40955448,16.82549251,-16.06008263,20.30456471,6.093947213,14.11781905,7.906900886,-9.056635621,6.363644301,1.499528394,-3.13539459,-14.03556083,-15.20998817,-7.708501784,11.51256334,-0.672175611,6.16142159,6.236046923,8.262640048,2.342930945,-6.867590513,-0.581804948,-6.369157878,-1.775973779,-8.180542445,-0.224838294,-3.147013836,-1.02147563,-5.368680005,4.476832306,-11.21585309,3.556670117,2.580320792,7.472432864,7.265966529,-4.282393743,-9.661059374,-4.606679108,3.071014799,-2.81219906,-1.519355626,4.334469699,-0.963037027,-5.084220972,-0.041316864,-3.906150873,0.337468779,5.551832548,-3.509026114,-3.770229515,-1.622186365,1.814643086,-1.978291852,4.188385767,-2.318333578,-1.119538748,-0.588870216,-0.780745117,3.352515802,0.899654774,-0.260903019,2.547718769,2.168370339,-1.17270686,-0.35798045,-0.667575427,-1.072348233,-1.112304257,0.770862215,-0.679925755,-0.364422593,-0.73511287,0.096112357,0.289239829,-0.662520854,0.475233258,0.719815754,-0.529851124,-0.037837065,-0.497100031,0.063229681,0.349108759,-0.072445944,0.197769939,0.422114843,-0.093954317,0.001220815,-0.01173093,0.16739443,-0.067698431,0.540737121,0.363649653,-0.167717584,-0.070681071,-0.183553177,0.03823854,0.085249147,0.034057086,-0.07419871,-0.055162091,0.023040316,0.000102867,7.60E-15,2.45E-14,-1.14E-14,5.11E-15,1.07E-14,-7.73E-15,-9.62E-15,-5.43E-15,3.25E-15,3.54E-15,1.79E-14,-1.87E-14,-1.49E-14,-1.78E-14,2.04E-14
DB01067,-46.06369842,-24.42143541,-14.56753853,-8.060576613,22.14855016,-3.369109299,-2.049759269,-1.678933804,-15.59631297,13.50450078,-11.90615733,-13.97942099,12.78085947,-10.69189793,-4.36920918,-17.33377098,-12.8077672,8.60324568,-9.257993129,-8.206424488,-10.7365107,-6.431616796,-4.353589718,-3.191829571,-5.494280346,10.280102,4.061403173,4.006266163,-1.664243688,14.36363175,11.25476009,-3.349517391,-1.965788125,0.601129509,-7.383757296,2.517847535,-4.995416901,-3.112519648,-5.664088691,-4.215735752,-0.424456769,4.413356581,-6.634133801,6.586156217,2.241251633,0.442386489,-3.845604449,-2.009297358,-2.355278004,-4.554971161,-1.330670393,1.952848841,2.975953097,-4.07877704,-2.615516359,-10.4635753,0.983138727,4.428659963,-2.530617969,-1.286532606,-2.427851071,-7.025542866,-3.401700838,-5.50660384,-6.727185575,3.164638154,1.960043672,2.919166493,1.215877973,-1.442056315,-2.353438912,0.137452693,0.717166364,0.75405923,0.00227025,-0.605355473,-1.645600359,0.88413525,0.426899631,-1.194403161,-0.523436568,-0.515463415,0.745907091,0.521813744,-1.0728931,0.026355808,-0.948749052,-0.826506781,0.56914608,-0.376328431,1.06749724,0.105303577,-0.606725859,-0.484873313,-0.172945377,0.275576938,0.052454565,-0.4294994,0.291624455,0.140946353,0.065463983,0.454775528,0.971674192,-0.167427574,0.123345372,-0.103625694,-0.152938281,-0.189368241,-0.131131057,-0.133303808,0.09296222,-0.013297009,-6.24E-06,3.86E-15,2.42E-15,2.13E-15,1.25E-14,2.00E-15,-7.99E-15,1.16E-14,-1.68E-14,-8.88E-15,-7.65E-15,1.02E-14,1.26E-14,-2.28E-15,8.84E-15,-1.42E-14
DB01420,-49.54086184,-33.97587724,-29.05557366,-21.46469034,-6.481981536,-19.14043944,-5.048377997,-0.687831731,0.894310499,15.58516565,0.710546252,-6.99002277,-7.162806153,16.75243663,17.56212655,3.282957735,-7.327638803,-8.697117936,9.751539448,1.052905021,0.42705043,-8.938537077,3.64321829,1.749321325,-9.459150469,0.343364203,-0.289556423,0.190198651,2.430339646,-0.166186297,4.655812304,1.619929946,-4.955456173,-0.934571719,-1.438534479,8.003865157,1.596120607,3.94314672,1.448796188,11.03220787,7.567293155,-4.848890417,-1.100609638,-4.708113219,-3.745632508,9.882175842,-5.50452892,-1.189292027,4.643730025,-3.154104551,-0.433459424,-9.262264433,0.112847227,-2.647201159,-2.694100977,-0.795220973,6.86222585,1.268471875,-3.628213096,2.798190084,-1.67149552,-8.744453474,-4.723606507,-6.266908124,-0.99329632,0.580081329,4.245561201,3.418860636,-1.672444426,-3.426394315,-3.17985817,0.559161398,-1.825069529,-2.024290779,0.096907195,-0.682432032,-0.306590139,0.921479001,1.807590116,-1.123469353,-1.183893725,0.997182045,0.652806871,-0.762301929,0.569726954,-0.440996394,0.065100732,0.136251842,0.14608872,-1.1118166,0.595889723,0.168686473,-0.321937603,0.136670214,-0.243772922,-0.358174053,-0.104366211,-0.423973076,-0.174410736,0.152559952,0.301332942,0.675449481,0.666797156,-0.148894605,0.169300658,-0.068151771,-0.375966407,-0.470697157,-0.009431799,-0.10604493,0.005199262,0.002074403,0.000822306,1.99E-15,-1.83E-14,-2.63E-14,-1.05E-14,-1.51E-15,1.07E-14,2.63E-15,-1.04E-15,-7.91E-16,-4.27E-15,6.49E-15,9.70E-15,2.32E-14,2.74E-14,1.20E-14
DB06148,10.22643802,19.88074347,2.26258041,-7.330768299,-5.281994348,-12.70827023,-2.081908801,-1.305206054,7.536394938,-1.630360222,-15.06576725,4.37413952,5.037518066,-2.607896457,16.03638526,-18.3092861,-0.341401348,-7.354423022,-16.36222141,1.210625149,12.42139369,20.1775952,9.015336373,4.799463677,5.359028276,-5.775239227,-1.400636499,5.314392929,-9.413106454,0.351723872,-2.828587248,17.31292371,7.747455576,-1.673217567,-4.644058616,9.864421844,-3.179640162,2.488788698,0.808537486,-0.508284803,-12.59652233,-4.765584863,7.595442162,-9.691484964,-1.733721358,6.66024012,3.53048749,-5.993369062,4.839523202,0.423901171,0.346292277,10.31874709,-5.719678747,-4.600429861,-0.304944458,-2.947873937,-11.13684865,-1.035731981,-3.091248321,-0.914530686,-3.800505027,-2.548415472,-0.281778412,-0.465206367,-3.458088494,0.027514231,-2.48609843,-1.532421059,-1.755637809,1.923408968,1.459137014,1.010140137,-0.639684305,0.765966797,-0.986065143,2.096849193,0.049174744,0.102381535,1.543042975,-0.134901307,0.185639689,-0.078086219,-0.655835721,-0.060398697,-1.248866534,1.007041161,-0.37474023,0.745403704,0.533854058,0.519711212,-0.519943499,0.018643482,-0.334269031,-0.358892348,0.268594122,-0.237663189,0.198033583,-0.254691942,0.421168571,0.101604922,-0.087648674,0.083921137,0.302431306,-0.146827778,-0.172592704,0.1472876,-0.04807944,0.292105804,0.02815935,-0.052727814,0.064798222,0.073617751,0.000187733,-4.69E-15,-8.69E-15,-4.41E-15,-2.73E-15,5.69E-15,-7.16E-16,-1.09E-14,3.96E-15,-1.28E-14,3.86E-15,-1.60E-14,1.58E-15,-2.01E-15,-1.28E-14,-1.37E-15
DB00557,21.55847818,19.78496999,-5.958286672,-2.830145718,21.25550931,0.414324245,-7.980933326,-8.643660371,1.951102535,-24.52664611,12.06663096,-13.38529179,-6.203161371,-3.310230006,-4.056413473,-12.35388054,1.284592776,4.586037317,-11.18722867,11.26708398,-16.88851052,-23.83367314,17.68946452,15.68098922,-15.96729742,-7.769306616,3.570352386,1.479787029,10.84828835,-10.37667338,-0.45704459,6.390076344,-14.51314746,15.91783004,2.01299985,-5.645525061,-6.796912159,2.841682392,-9.521705306,8.636099619,-11.25111051,7.558292569,1.281727781,5.066282164,-10.00197825,6.127643204,-11.1496565,-3.74664188,1.191204395,-0.437758114,-3.084395414,-0.891144196,-14.60517374,-1.139767046,-6.534521725,-4.032608212,-1.476928499,-1.004147486,2.49516367,1.611479513,2.189499328,0.560285041,-0.475064077,-0.232738679,4.795003182,-2.537596041,-1.040710004,-3.950282823,0.710452225,5.384750725,2.053150627,0.618088821,5.24415029,-1.881922179,0.913516889,0.522767371,1.370730759,2.143389472,0.603643769,0.556435665,0.799671816,1.086422897,0.926356749,-0.364802645,-0.214578701,-1.292864666,-1.028708513,-0.389655012,-0.61536218,0.47800016,-0.364267104,0.857400086,1.471762281,-0.114576846,-0.185195918,-0.754420937,0.23846161,-0.068136031,-0.343535876,0.896557594,-0.276363678,-0.24893748,-0.574513256,-0.090346229,-0.426632757,-0.012089957,-0.27708649,0.124928739,0.169891198,0.508046052,0.06698097,-0.066885762,-0.000518183,-1.40E-15,-4.23E-15,-5.33E-15,-2.06E-14,-9.61E-15,-5.09E-15,4.64E-16,-2.80E-15,-8.62E-15,1.43E-14,6.21E-15,-2.66E-15,-1.36E-14,3.39E-14,3.36E-14
DB00476,-50.90089281,-33.24210119,-30.80721787,-22.00425522,-9.422242693,-2.421100146,15.81278994,4.248969945,4.79927302,4.473905573,7.230632526,-12.46982228,-9.129654302,25.95648294,-3.747255106,4.364208926,-9.925704283,-8.531180246,5.903924973,-10.98659951,2.410420041,0.964279402,6.05647185,8.723540879,-4.996301317,-16.24270751,5.334071914,7.147506122,-6.619327631,-2.525154679,10.06048475,4.533296232,-1.705012641,-10.09634767,3.559075194,-7.874303194,0.936593311,-18.39851085,-11.76531204,-12.78303409,-2.696950191,1.557038715,5.80327878,-0.96624892,1.639084698,-2.632417559,-8.14894655,1.846232827,-4.728495775,0.027205544,-6.840808396,-2.493796869,-3.247653972,-0.060238657,-0.889893309,-1.886450054,0.615414677,-2.249092328,-3.414582448,3.18788877,-1.869998446,-10.42489433,-3.01801298,-9.428225191,-3.839461141,4.865836666,4.64522937,2.266968833,-3.718377225,-4.118481851,-1.921106202,-0.038524782,-1.590306368,-2.391859804,-0.110379121,-0.338640676,-1.021614594,0.928025853,1.690338062,-1.34811952,-0.479200504,1.050806891,1.14482606,-0.62677978,-0.078358906,0.466902377,0.249257579,-0.437560178,0.642977311,-1.577661124,-0.080826187,0.203227747,-0.930013872,-0.092193585,-0.61454772,-0.346405856,-0.479295872,-0.185543727,-0.151834142,-0.295670886,0.276576715,-0.446511891,-0.544779541,0.087559538,0.333446919,-0.347731167,-0.000481214,-0.429570059,0.045933258,-0.14587388,0.02199561,0.017421795,-0.000293512,3.24E-14,-1.13E-14,-9.38E-15,1.48E-14,4.85E-17,-2.20E-14,1.39E-14,1.89E-14,5.92E-15,-1.07E-14,-7.24E-15,7.13E-16,-3.23E-15,1.86E-14,-7.57E-15
DB00165,2.787150643,20.47989213,9.486396885,-7.33372247,0.771884597,-3.766324666,2.329596402,-6.940000457,6.819288296,-9.686341265,-14.45521402,12.04051349,-16.67663537,-9.285327119,8.991457989,-1.210571548,-1.975498372,-15.65085954,-6.377817561,-15.06496402,7.125566359,-1.42981312,6.610410328,-2.280070097,10.68327101,12.7212781,-2.06419761,-1.808661043,-8.022930728,3.226892204,10.297932,3.143484899,-12.13841246,-5.426422618,-1.699528588,2.819516732,0.95436457,2.197236478,-5.588282935,4.793888684,-14.4409043,-1.901964337,2.787600398,-11.04993294,-1.160524177,2.427475217,-1.674393372,-8.922573692,8.515444325,-0.925118636,-3.288056003,5.011328634,-2.065720097,-1.839992916,2.74093842,-0.995309557,-5.533317882,-6.031388264,-2.7594322,1.550152397,-3.719482906,-5.767197916,1.205970127,-1.202888849,1.813632128,3.18146141,-2.295928324,-1.617856409,0.2482705,0.977714475,-1.025780546,-1.294086922,1.779573102,-1.272711685,-2.139721387,0.330678862,0.96256839,-1.506868896,1.305924626,-1.433853145,0.900741269,-0.258388864,-0.336595091,0.075399105,-0.914707882,0.479821771,-0.666745681,1.003733655,0.560347614,0.527263645,-0.10802228,1.286641059,-0.256556724,0.599533533,-0.091552286,-0.249759544,-0.135183415,-0.382994178,-0.259736076,-0.142884543,-0.075889584,-0.025842966,0.205107468,0.003288704,-0.251234492,0.312466257,-0.080547109,-0.190734438,0.233757975,-0.085179873,0.076868129,0.028055776,-0.00063525,2.14E-14,-6.88E-15,1.33E-14,1.10E-14,4.85E-15,2.19E-14,7.05E-15,2.23E-14,2.29E-14,-7.65E-15,6.77E-15,1.31E-14,-1.30E-14,2.94E-15,2.31E-14
